# NED distances 
#
# name   = galaxy name
# RA,DEC = RA, DEC (J2000) [in degrees]
# mu     = distance modulus (+error) derived from z [in mag]
# D      = mean distance (+error) [in Mpc]
# minD   = min distance in NED [in Mpc]
# maxD   = max distance in NED [in Mpc]
# Vhel   = Heliocentric velocity [in kms]
# A_V    = foreground extinction [in mag] from Schlafly+ '11
#
# Total number of galaxies: 1
#
###########################################################################################################################
#name           |     RA[deg]  |    DEC[deg]  |     mu[mag]  |      mu_err |       D[Mpc]  |       D_err  |    minD[Mpc] |    maxD[Mpc] |    Vhel[kms] |     Vhel_err |    A_V[mag] 
        PGC1034 |     3.854708 |   -21.444389 |    28.430000 |     0.210000 |     4.860000 |     0.456000 |     4.390000 |     5.300000 |   362.000000 |    10.000000 |     0.059000
        PGC1038 |     3.881500 |   -32.179943 |    26.389999 |     0.120000 |     1.903000 |     0.097000 |     1.620000 |     2.010000 |   159.000000 |     2.000000 |     0.037000
        PGC1051 |     3.963667 |    16.089779 |    33.580002 |     0.210000 |    52.099998 |     5.070000 |    46.299999 |    57.500000 |  4213.000000 |     5.000000 |     0.171000
        PGC1089 |     4.118417 |    29.923944 |    34.099998 |     0.160000 |    66.113998 |     5.080000 |    60.700001 |    75.099998 |  4863.000000 |    10.000000 |     0.115000
        PGC1099 |     4.170708 |    47.921444 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  4375.000000 |     8.000000 |     0.272000
        PGC1105 |     4.173833 |     2.459556 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  4135.000000 |    20.000000 |     0.075000
        PGC1106 |     4.184083 |     7.076083 |    33.669998 |     0.210000 |    54.429001 |     5.340000 |    49.400002 |    61.799999 |  3966.000000 |     1.000000 |     0.110000
        PGC1107 |     4.200417 |    12.348056 |    31.000000 |          NaN |    15.900000 |          NaN |    15.900000 |    15.900000 |  1136.000000 |     1.000000 |     0.348000
        PGC1109 |     4.212000 |    -5.268306 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  3958.000000 |    10.000000 |     0.085000
        PGC1114 |     4.234171 |    27.889915 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  4459.000000 |    20.000000 |     0.100000
        PGC1124 |     4.316250 |    17.523056 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  1003.000000 |     5.000000 |     0.145000
        PGC1128 |     4.265417 |    34.500278 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  4671.000000 |     5.000000 |     0.134000
        PGC1130 |     4.292500 |   -19.301472 |    33.150002 |     0.120000 |    42.653999 |     2.320000 |    39.500000 |    46.299999 |  3203.000000 |     6.000000 |     0.066000
        PGC1153 |     4.385000 |    22.513056 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  3695.000000 |     9.000000 |     0.196000
        PGC1154 |     4.399458 |    30.204971 |    34.080002 |     0.210000 |    65.827003 |     6.620000 |    58.599998 |    78.000000 |  4834.000000 |    10.000000 |     0.154000
        PGC1160 |     4.439667 |    11.450333 |    31.360001 |     0.020000 |    18.719999 |     0.160000 |    18.600000 |    19.000000 |  1160.000000 |     1.000000 |     0.305000
        PGC1180 |     4.550375 |    13.192250 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  4131.000000 |    23.000000 |     0.288000
        PGC1199 |     4.608083 |   -83.110947 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  4534.000000 |    45.000000 |     0.447000
        PGC1205 |     4.626520 |   -47.655834 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  1494.000000 |    10.000000 |     0.033000
        PGC1209 |     4.653792 |   -35.938332 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  3917.000000 |    45.000000 |     0.039000
        PGC1212 |     4.658875 |   -35.945805 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  3849.000000 |    45.000000 |     0.039000
        PGC1218 |     4.701337 |   -19.007711 |    32.040001 |          NaN |    25.600000 |          NaN |    25.600000 |    25.600000 |  3199.000000 |     7.000000 |     0.074000
        PGC1225 |     4.788750 |   -57.641556 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  1745.000000 |     4.000000 |     0.037000
        PGC1231 |     4.752375 |    23.476528 |    34.139999 |     0.280000 |    67.773003 |     8.410000 |    54.799999 |    79.099998 |  4485.000000 |    18.000000 |     0.182000
        PGC1242 |     4.797775 |   -22.668274 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |   670.000000 |     2.000000 |     0.052000
        PGC1252 |     4.774292 |   -61.397472 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |     0.000000 |          NaN |     0.034000
        PGC1284 |     4.993570 |   -77.090797 |    31.660000 |          NaN |    21.400000 |          NaN |    21.400000 |    21.400000 |  1791.000000 |     4.000000 |     0.152000
        PGC1288 |     5.000208 |    -6.333917 |    33.200001 |     0.480000 |    44.271000 |     9.170000 |    27.900000 |    59.200001 |  3709.000000 |     4.000000 |     0.098000
        PGC1292 |     5.021667 |    10.880000 |    31.000000 |          NaN |    15.900000 |          NaN |    15.900000 |    15.900000 |  1144.000000 |     1.000000 |     0.316000
        PGC1303 |     5.098000 |   -14.034944 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  3522.000000 |    45.000000 |     0.078000
        PGC1335 |     5.236758 |   -63.857368 |    31.580000 |          NaN |    20.700001 |          NaN |    20.700001 |    20.700001 |  1759.000000 |     6.000000 |     0.051000
        PGC1336 |     5.215917 |    12.856028 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  1800.000000 |     3.000000 |     0.196000
        PGC1353 |     5.305386 |    30.474436 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  4679.000000 |    15.000000 |     0.191000
        PGC1357 |     5.309470 |   -48.628216 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  3415.000000 |    23.000000 |     0.054000
        PGC1359 |     5.316875 |    30.506001 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  4840.000000 |    10.000000 |     0.196000
        PGC1370 |     5.342167 |   -48.640167 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  3439.000000 |    19.000000 |     0.053000
        PGC1374 |     5.351500 |   -48.665306 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  3287.000000 |    10.000000 |     0.053000
        PGC1388 |     5.382099 |   -48.624756 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  3219.000000 |     7.000000 |     0.053000
        PGC1394 |     5.402660 |   -81.115997 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  3916.000000 |    30.000000 |     0.238000
        PGC1397 |     5.430930 |   -81.116013 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |     0.000000 |          NaN |     0.239000
        PGC1413 |     5.521208 |    23.736973 |    34.049999 |     0.320000 |    65.188004 |     9.430000 |    51.000000 |    79.000000 |  4454.000000 |    10.000000 |     0.118000
        PGC1416 |     5.537000 |    -1.432333 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  4865.000000 |    45.000000 |     0.125000
        PGC1419 |     5.542417 |    -4.346361 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  4353.000000 |     8.000000 |     0.072000
        PGC1431 |     5.589083 |    -1.345833 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  4893.000000 |     3.000000 |     0.085000
        PGC1434 |     5.595958 |    -1.303389 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  4868.000000 |     3.000000 |     0.077000
